Prompt Number,Title,Use Case,Full Prompt,Aspect Ratio,Best Platforms
001,Silk Draped Perfume Elegance,"High-end fragrance advertising, luxury e-commerce, Instagram campaigns","You are an award-winning luxury product photographer specializing in high-end fragrance campaigns for brands like Chanel and Dior. Create a sophisticated perfume bottle photograph featuring a rectangular glass perfume bottle positioned on draped champagne silk fabric with natural wrinkles and folds catching light. Use soft directional lighting from a 45-degree angle creating gentle shadows and highlighting the silk's lustrous sheen. The bottle should be sharp with the label clearly visible while the background silk melts into creamy bokeh using f/2.8 aperture. Include elegant negative space in the upper third for advertising copy placement. Use medium format camera aesthetic with Hasselblad color science, muted gold and cream color palette, editorial luxury magazine styling with tactile emphasis showing detailed fabric texture. The composition should feel expensive, refined, and campaign-ready with photorealistic material rendering. Avoid fake branding, excessive text, or artificial reflections.",4:5,Instagram / Pinterest / Premium E-commerce
002,Marble Watch Masculine Luxury,"Watch brand campaigns, men's luxury accessories, editorial features","You are a luxury watch photographer specializing in Swiss timepiece advertising and horological editorial content. Create a dramatic product photograph of a premium automatic watch with visible complications positioned on honed Carrara marble surface. Use dramatic side lighting creating defined shadows at 7 o'clock position with additional rim light separating the watch from background. Employ macro lens perspective capturing intricate dial details, polished case finishing, and genuine leather strap grain texture. Include atmospheric dust particles visible in light rays creating depth. Use high-contrast chiaroscuro lighting reminiscent of classical painting with cool blue-grey color grading and architectural precision in composition. The watch should show accurate time and realistic reflections with professional product retouching standards. Avoid distorted watch faces, incorrect hand positions, or fake brand names.",1:1,Instagram / Luxury Brand Campaigns / Print Advertising
003,Velvet Diamond Ring Drama,"Fine jewelry marketing, engagement ring campaigns, luxury retail","You are a fine jewelry photographer specializing in high-end diamond and gemstone advertising for luxury jewelers. Create a low-key dramatic photograph of a diamond engagement ring resting on a deep burgundy velvet cushion against a completely black background. Use single focused spotlight creating brilliant light refraction through diamond facets with visible fire and brilliance. Photograph the ring at eye level with slight downward angle using macro photography to reveal metal craftsmanship, prong details, and stone clarity. Include volumetric light beam visible in atmospheric haze with cinematic color grading preserving both rich shadows and sparkling highlights. The diamond should show realistic light dispersion with accurate gemstone properties. Avoid plastic-looking gems, distorted metal, or excessive sparkle effects.",4:5,E-commerce / Social Media / Email Campaigns
004,Minimalist Skincare on Stone,"Premium skincare brands, clean beauty campaigns, wellness marketing","You are a minimalist product photographer specializing in Scandinavian-inspired clean beauty and wellness brand campaigns. Create a serene product photograph featuring a high-end serum bottle centered on a rough-hewn limestone block with natural texture. Use diffused natural window light from the left creating soft graduated shadows and even illumination. Employ Scandinavian minimalist aesthetic with abundant negative space, neutral earth-tone palette of warm greys and off-whites. The product label should face camera at perfect angle with shallow depth creating gentle background fade. Show honest material textures including stone grain and glass reflectivity with editorial cleanliness and premium simplicity. Shot with tilt-shift lens aesthetic for controlled focus plane. Avoid clutter, bright colors, or busy compositions.",4:5,Instagram / Website Landing Pages / Print Catalogs
005,Suspended Luxury Handbag,"Designer bag campaigns, luxury fashion accessories, premium retail","You are a high-end fashion photographer specializing in luxury accessories and designer handbag campaigns for major fashion houses. Create a dynamic product photograph of a designer leather handbag suspended in mid-air against a seamless cream background using invisible rigging to create a floating effect. Use controlled studio lighting with large octabox for wrapping softness plus additional fill light from below eliminating harsh shadows. Capture the bag at a dynamic three-quarter angle showing structure, hardware details, and leather craftsmanship. The rich cognac leather should show visible natural grain and character with gold-tone metal accents catching small specular highlights. Use high-end retouching maintaining authentic texture with commercial fashion photography standards. Avoid visible wires, unnatural shadows, or distorted bag shape.",1:1,Social Media Campaigns / E-commerce / Paid Advertising
006,Whiskey Bottle Ice and Reflection,"Premium spirits advertising, lifestyle beverage photography, bar marketing","You are a commercial beverage photographer specializing in premium spirits and luxury alcohol brand campaigns. Create a sophisticated product photograph of a crystal whiskey decanter on polished black granite surface creating perfect mirror reflection. Include chunks of clear artisan ice scattered around the base catching and refracting light. The golden amber liquid should be visible through glass showing depth and clarity with dramatic backlighting creating luminous glow. Add subtle smoke or vapor wisping from ice adding atmospheric dimension with rim lighting defining bottle edges. Use sophisticated color palette of amber, deep black, and ice-blue with cinematic beverage photography aesthetic. Ultra-sharp focus on label with 100mm macro lens perspective. Avoid artificial smoke, unrealistic reflections, or distorted glass.",4:5,Magazine Ads / Social Media / Premium Beverage Marketing
007,Tech Device Brutalist Architecture,"Premium electronics, luxury lifestyle tech, modern product marketing","You are a technology lifestyle photographer specializing in premium consumer electronics and luxury tech brand campaigns. Create an editorial photograph of high-end wireless headphones placed on geometric concrete architectural element with strong angular lines and brutalist aesthetic. Use natural daylight through unseen skylight creating graduated illumination across concrete surfaces. Position product following rule of thirds with background showing out-of-focus brutalist architecture creating depth. Employ modernist aesthetic with industrial materials, color palette of concrete grey with brushed metal accents. Use perspective control lens maintaining perfectly vertical lines with editorial technology photography standards emphasizing premium build quality and materiality. Avoid plastic-looking materials, incorrect perspective, or cluttered backgrounds.",16:9,Website Heroes / Technology Blogs / Brand Campaigns
008,Flowing Silk Scarf Luxury,"Fashion accessories, luxury textile marketing, designer scarves","You are a fashion accessories photographer specializing in luxury textiles and designer silk goods for high-end fashion brands. Create an elegant still life photograph of a designer silk scarf artfully draped over a matte black pedestal with fabric flowing naturally showing gravity and movement. Use lighting from above creating dimensional folds and shadows in silk material revealing pattern details. Feature rich jewel-tone colors of sapphire blue and emerald green against dark background with fabric photographed to show natural lustre and hand-painted design details. Include high-key highlights on silk ridges with luxury fashion editorial styling. Ensure color-accurate reproduction critical for e-commerce with medium aperture f/5.6 for balanced depth of field. Avoid flat lighting, color inaccuracy, or stiff fabric appearance.",4:5,E-commerce / Instagram / Fashion Editorial
009,Artisan Chocolate Gold Accents,"Premium confectionery, gourmet food marketing, luxury gifts",You are a luxury food photographer specializing in high-end confectionery and artisan chocolate brand campaigns. Create an indulgent close-up photograph of hand-crafted chocolate bonbons arranged on natural slate surface with edible gold leaf accents. Use macro photography revealing glossy chocolate shell finish and intricate surface decorations including painted details and textures. Employ dramatic side lighting creating specular highlights on chocolate curves and dimensional shadows. Use shallow depth of field at f/2.8 isolating foreground piece while others fade into soft bokeh. Feature rich brown color with metallic gold details and artisanal food photography aesthetic with texture emphasis showing cocoa sheen and professional color grading. Shot with 100mm macro lens revealing handcrafted details. Avoid plastic-looking chocolate or artificial shine.,1:1,Instagram / Product Packaging / Gourmet Marketing
010,Burning Candle Atmospheric Glow,"Premium home fragrance, luxury lifestyle, wellness products","You are an atmospheric lifestyle photographer specializing in luxury home fragrance and wellness brand campaigns. Create an intimate low-light photograph of a luxury scented candle burning in a completely dark environment where the single flame creates the only light source. The warm orange glow should illuminate the frosted glass container and surrounding space in a diminishing radius with wisps of smoke rising vertically showing stillness. Use strong contrast between warm candlelight and deep shadows with visible wax pool at surface. Employ premium home fragrance aesthetic with cinematic low-light photography shot using fast prime lens at f/1.4 capturing natural ambient glow and flame detail. The mood should feel intimate, luxurious, and calming. Avoid multiple light sources, unnatural colors, or fake flame effects.",4:5,Social Media / Brand Atmosphere / Email Marketing
